"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery_Cell","","","","Battery:BatteryHolder_Bulgin_BX0036_1xC","~"
"DS1","1","OLED-128O064D","","","","Display:OLED-128O064D","https://www.vishay.com/docs/37902/oled128o064dbpp3n00000.pdf"
"J1","1","Conn_01x10_Pin 5V","","","","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"J2","1","Conn_01x10_Pin 3.3V","","","","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"J3","1","Conn_01x10_Pin GND","","","","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"J4","1","Conn_01x01","","","","","~"
"J11","1","Conn_01x03_Pin Water Flow","","","","Connector_PinHeader_1.00mm:PinHeader_1x03_P1.00mm_Vertical","~"
"J12","1","01x03 Flame","","","","Connector_PinHeader_1.00mm:PinHeader_1x03_P1.00mm_Vertical","~"
"J13","1","Conn_01x03_Pin","","","","Connector_PinHeader_1.00mm:PinHeader_1x03_P1.00mm_Vertical","~"
"J14","1","Conn_01x03_Pin Sound","","","","Connector_PinHeader_1.00mm:PinHeader_1x03_P1.00mm_Vertical","~"
"J15","1","Conn_01x04_Pin Rain","","","","Connector_PinHeader_1.00mm:PinHeader_1x03_P1.00mm_Vertical","~"
"J16","1","Conn_01x04_Pin Soil Humidity","","","","Connector_PinHeader_1.00mm:PinHeader_1x04_P1.00mm_Vertical","~"
"J17","1","Conn_01x02_Pin","","","","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","~"
"K1","1","Fujitsu_FTR-LYCA005x","","","","Relay_THT:Relay_SPDT_Fujitsu_FTR-LYCA005x_FormC_Vertical","https://www.fujitsu.com/sg/imagesgig5/ftr-ly.pdf"
"MK1","1","ICS-43434","","","","Sensor_Audio:InvenSense_ICS-43434-6_3.5x2.65mm","https://www.invensense.com/wp-content/uploads/2016/02/DS-000069-ICS-43434-v1.2.pdf"
"SC1","1","Solar_Cells","","","","Connector_PinHeader_1.00mm:PinHeader_2x03_P1.00mm_Vertical","~"
"U1","1","ESP32-S3-DevKitC","","","","PCM_Espressif:ESP32-S3-DevKitC",""
"U2","1","BME280 - Pressure Humidity Sensor","","","","Package_LGA:Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering","https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bme280-ds002.pdf"
"U3","1","DHT11 Temp Sensor","","","","Sensor:Aosong_DHT11_5.5x12.0_P2.54mm","http://akizukidenshi.com/download/ds/aosong/DHT11.pdf"
"U5","1","A1101ELHL Hall Effect","","","","Package_TO_SOT_SMD:SOT-23W","https://www.allegromicro.com/-/media/files/datasheets/a110x-datasheet.ashx"
"U6","1","TP4056-42-ESOP8 - Battery Recharger","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf"
"U7","1","DS3231M - RTC","","","","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","http://datasheets.maximintegrated.com/en/ds/DS3231.pdf"
"U8","1","CRE1S0305S3C","","","","Converter_DCDC:Converter_DCDC_Murata_CRE1xxxxxx3C_THT","http://power.murata.com/datasheet?/data/power/ncl/kdc_cre1.pdf"
"VoltageSensorU6","1","LV25-P","","","","Sensor_Voltage:LEM_LV25-P","https://www.lem.com/sites/default/files/products_datasheets/lv_25-p.pdf"
